Row Labels	Sum of Hourly production [kWh]
12/16/2016	295470.281
12/17/2016	255698.073
12/18/2016	249719.954
12/19/2016	243176.549
12/20/2016	236851.234
12/21/2016	231247.235
12/22/2016	224156.576
12/23/2016	264050.348
12/24/2016	272240.228
12/25/2016	227259.239
12/26/2016	224172.079
12/27/2016	228305.869
12/28/2016	215025.336
12/29/2016	224408.615
12/30/2016	226185.815
12/31/2016	207134.135
1/1/2017	167833.684
1/2/2017	160088.03
1/3/2017	167323.283
1/4/2017	206230.535
1/5/2017	188369.144
1/6/2017	152166.722
1/7/2017	158176.958
1/8/2017	149359.898
1/9/2017	156770.954
1/10/2017	142188.096
1/11/2017	148382.064
1/12/2017	150425.42
1/13/2017	140392.98
1/14/2017	152275.12
1/15/2017	142517.255
1/16/2017	137563.854
1/17/2017	139931.788
1/18/2017	141733.198
1/19/2017	148626.782
1/20/2017	131847.856
1/21/2017	136795.428
1/22/2017	126413.47
1/23/2017	128798.864
1/24/2017	119257.994
1/25/2017	102655.555
1/26/2017	118036.507
1/27/2017	124870.719
1/28/2017	132468.349
1/29/2017	131633.992
1/30/2017	135741.975
1/31/2017	134387.247
2/1/2017	134552.177
2/2/2017	140645.784
2/3/2017	189811.047
2/4/2017	216121.824
2/5/2017	397068.97
2/6/2017	479053.299
2/7/2017	584131.581
2/8/2017	559214.001
2/9/2017	459426.004
2/10/2017	408675.754
2/11/2017	368600.956
2/12/2017	300050.318
2/13/2017	304294.938
2/14/2017	300648.733
2/15/2017	238440.409
2/16/2017	243096.056
2/17/2017	282635.31
2/18/2017	268561.023
2/19/2017	251443.324
2/20/2017	271702.873
2/21/2017	256327.233
2/22/2017	238470.115
2/23/2017	245046.238
2/24/2017	289588.017
2/25/2017	465828.257
2/26/2017	433748.504
2/27/2017	506206.87
2/28/2017	618542.436
3/1/2017	642441.327
3/2/2017	584400.437
3/3/2017	560553.705
3/4/2017	525217.009
3/5/2017	517905.976
3/6/2017	572192.995
3/7/2017	586576.978
3/8/2017	592342.953
3/9/2017	720619.459
3/10/2017	785448.618
3/11/2017	746475.124
3/12/2017	699290.58
3/13/2017	634583.878
3/14/2017	571646.137
3/15/2017	516467.674
3/16/2017	476194.075
3/17/2017	485094.862
3/18/2017	218933.925
3/19/2017	539352.462
3/20/2017	615036.558
3/21/2017	701839.084
3/22/2017	682300.928
3/23/2017	780740.698
3/24/2017	823278.714
3/25/2017	836285.323
3/26/2017	797728.96
3/27/2017	764378.933
3/28/2017	684561.007
3/29/2017	713882.655
3/30/2017	629684.287
3/31/2017	632335.976
4/1/2017	624653.238
4/2/2017	687874.805
4/3/2017	557466.593
4/4/2017	548580.136
4/5/2017	541644.324
4/6/2017	525449.262
4/7/2017	496636.588
4/8/2017	477173.359
4/9/2017	450658.374
4/10/2017	449901.026
4/11/2017	453874.002
4/12/2017	464640.489
4/13/2017	465866.924
4/14/2017	484578.538
4/15/2017	506006.863
4/16/2017	26238.892
4/17/2017	568934.089
4/18/2017	480822.088
4/19/2017	668027.476
4/20/2017	738783.981
4/21/2017	665782.985
4/22/2017	591369.914
4/23/2017	576866.706
4/24/2017	571764.686
4/25/2017	559417.574
4/26/2017	537887.132
4/27/2017	573989.433
4/28/2017	576934.324
4/29/2017	625200.041
4/30/2017	617925.246
5/1/2017	618430.608
5/2/2017	614177.228
5/3/2017	612772.262
5/4/2017	627492.155
5/5/2017	558145.529
5/6/2017	542537.923
5/7/2017	550871.756
5/8/2017	553003.738
5/9/2017	584995.147
5/10/2017	499572.425
5/11/2017	462806.886
5/12/2017	486665.234
5/13/2017	515736.523
5/14/2017	499180.876
5/15/2017	439811.142
5/16/2017	364134.688
5/17/2017	456103.956
5/18/2017	491805.916
5/19/2017	461188.108
5/20/2017	454260.526
5/21/2017	451537.211
5/22/2017	441709.722
5/23/2017	456707.026
5/24/2017	585017.237
5/25/2017	649422.747
5/26/2017	855229.029
5/27/2017	827435.908
5/28/2017	810405.081
5/29/2017	807478.083
5/30/2017	757905.832
5/31/2017	686808.583
6/1/2017	618358.509
6/2/2017	583022.155
6/3/2017	589336.813
6/4/2017	540142.402
6/5/2017	495231.376
6/6/2017	582587.936
6/7/2017	478083.061
6/8/2017	511795.429
6/9/2017	504760.173
6/10/2017	459136.891
6/11/2017	433376.539
6/12/2017	504865.088
6/13/2017	481879.638
6/14/2017	467750.604
6/15/2017	406968.085
6/16/2017	421307.159
6/17/2017	450687.236
6/18/2017	403699.413
6/19/2017	365515.533
6/20/2017	380446.634
6/21/2017	371225.947
6/22/2017	298773.703
6/23/2017	298487.293
6/24/2017	300289.827
6/25/2017	292649.298
6/26/2017	274534.301
6/27/2017	276743.314
6/28/2017	267839.297
6/29/2017	232063.578
6/30/2017	233686.589
7/1/2017	284657.07
7/2/2017	279839.823
7/3/2017	282664.313
7/4/2017	266930.344
7/5/2017	251736.496
7/6/2017	239887.469
7/7/2017	222180.892
7/8/2017	219381.591
7/9/2017	219897.689
7/10/2017	212773.216
7/11/2017	190907.06
7/12/2017	178320.776
7/13/2017	179356.132
7/14/2017	169760.982
7/15/2017	170559.496
7/16/2017	213591.019
7/17/2017	216326.033
7/18/2017	180247.709
7/19/2017	165658.993
7/20/2017	168913.507
7/21/2017	163459.92
7/22/2017	149291.952
7/23/2017	142010.605
7/24/2017	143829.488
7/25/2017	141210.612
7/26/2017	145813.91
7/27/2017	148607.517
7/28/2017	142226.433
7/29/2017	136968.397
7/30/2017	133423.182
7/31/2017	124217.645
8/1/2017	114315.117
8/2/2017	111936.245
8/3/2017	97753.131
8/4/2017	90782.766
8/5/2017	84154.109
8/6/2017	86906.572
8/7/2017	84778.681
8/8/2017	86032.461
8/9/2017	83582.68
8/10/2017	82932.139
8/11/2017	82781.933
8/12/2017	77122.77
8/13/2017	98051.034
8/14/2017	91052.99
8/15/2017	83294.184
8/16/2017	80898.083
8/17/2017	82056.955
8/18/2017	79942.457
8/19/2017	74801.22
8/20/2017	73529.141
8/21/2017	89934.341
8/22/2017	82404.397
8/23/2017	74379.797
8/24/2017	73520.177
8/25/2017	71361.157
8/26/2017	70560.088
8/27/2017	66620.445
8/28/2017	64654.632
8/29/2017	77524.325
8/30/2017	74409.375
8/31/2017	66844.467
9/1/2017	56230.708
9/2/2017	52940.463
9/3/2017	46943.715
9/4/2017	57911.924
9/5/2017	57881.377
9/6/2017	53801.21
9/7/2017	56315.925
9/8/2017	55471.754
9/9/2017	62939.243
9/10/2017	58990.164
9/11/2017	58941.117
9/12/2017	66379.116
9/13/2017	55342.989
9/14/2017	57887.743
9/15/2017	52859.505
9/16/2017	48726.076
9/17/2017	47126.198
9/18/2017	45433.69
9/19/2017	37969.537
9/20/2017	55063.236
9/21/2017	52349.949
9/22/2017	51640.74
9/23/2017	50753.133
9/24/2017	49923.849
9/25/2017	64379.977
9/26/2017	63457.532
9/27/2017	73492.101
9/28/2017	68505.228
9/29/2017	70257.448
9/30/2017	59421.202
10/1/2017	54931.759
10/2/2017	49124.958
10/3/2017	48480.395
10/4/2017	49723.08
10/5/2017	52008.378
10/6/2017	52133.232
10/7/2017	88311.141
10/8/2017	87035.644
10/9/2017	70700.043
10/10/2017	64318.733
10/11/2017	60130.941
10/12/2017	57257.012
10/13/2017	52588.759
10/14/2017	49124.717
10/15/2017	45703.148
10/16/2017	41329.585
10/17/2017	39399.687
10/18/2017	36799.763
10/19/2017	37057.667
10/20/2017	37375.399
10/21/2017	38759.696
10/22/2017	37448.868
10/23/2017	60299.696
10/24/2017	81219.13
10/25/2017	85351.056
10/26/2017	75441.433
10/27/2017	48953.059
10/28/2017	40707.523
10/29/2017	52879.954
10/30/2017	53674.402
10/31/2017	53093.746
11/1/2017	54347.421
11/2/2017	56267.104
11/3/2017	57255.368
11/4/2017	61720.178
11/5/2017	59214.791
11/6/2017	55178.528
11/7/2017	92904.599
11/8/2017	135548.891
11/9/2017	92788.935
11/10/2017	106725.095
11/11/2017	111914.794
11/12/2017	126221.241
11/13/2017	96978.296
11/14/2017	101359.249
11/15/2017	237916.195
11/16/2017	367013.841
11/17/2017	432595.071
11/18/2017	478536.355
11/19/2017	448904.708
11/20/2017	346349.625
11/21/2017	281432.992
11/22/2017	233916.515
11/23/2017	219663.537
11/24/2017	199397.43
11/25/2017	196286.4
11/26/2017	166437.863
11/27/2017	240300.994
11/28/2017	236043.718
11/29/2017	214354.323
11/30/2017	275923.625
12/1/2017	612028.783
12/2/2017	722853.028
12/3/2017	835338.128
12/4/2017	801357.787
12/5/2017	814701.233
12/6/2017	685378.391
12/7/2017	614086.62
12/8/2017	575709.94
12/9/2017	556235.753
12/10/2017	534782.552
12/11/2017	454614.265
12/12/2017	444668.939
12/13/2017	474455.165
12/14/2017	476262.411
12/15/2017	509209.035
12/16/2017	539563.726
12/17/2017	617172.197
12/18/2017	510565.326
12/19/2017	425026.596
12/20/2017	425586.613
12/21/2017	432030.766
12/22/2017	428041.074
12/23/2017	383342.806
12/24/2017	352142.238
12/25/2017	375288.49
12/26/2017	366417.27
12/27/2017	350774.758
12/28/2017	364433.866
12/29/2017	0
12/30/2017	374521.559
12/31/2017	336588.029
