Date	Hour	Price
03.02.2018	H6	30.98
03.02.2018	H7	31.58
03.02.2018	H8	36.14
03.02.2018	H9	41.00
03.02.2018	H10	44.26
03.02.2018	H11	44.85
03.02.2018	H12	44.73
03.02.2018	H13	43.24
03.02.2018	H14	40.81
03.02.2018	H15	38.30
03.02.2018	H16	37.95
03.02.2018	H17	39.95
03.02.2018	H18	44.67
03.02.2018	H19	47.67
03.02.2018	H20	43.99
03.02.2018	H21	39.74
03.02.2018	H22	36.08
03.02.2018	H23	35.90
03.02.2018	H24	31.39
04.02.2018	H1	30.21
04.02.2018	H2	27.58
04.02.2018	H3	23.07
04.02.2018	H4	18.12
04.02.2018	H5	20.33
04.02.2018	H6	20.31
04.02.2018	H7	27.20
04.02.2018	H8	28.96
04.02.2018	H9	31.43
04.02.2018	H10	33.80
04.02.2018	H11	34.59
04.02.2018	H12	35.86
04.02.2018	H13	34.07
04.02.2018	H14	31.96
04.02.2018	H15	31.09
04.02.2018	H16	31.99
04.02.2018	H17	35.00
04.02.2018	H18	42.34
04.02.2018	H19	46.00
04.02.2018	H20	43.60
04.02.2018	H21	38.84
04.02.2018	H22	34.53
04.02.2018	H23	34.62
04.02.2018	H24	31.81
05.02.2018	H1	31.53
05.02.2018	H2	31.06
05.02.2018	H3	30.00
05.02.2018	H4	30.01
05.02.2018	H5	30.15
05.02.2018	H6	35.00
05.02.2018	H7	44.92
05.02.2018	H8	56.01
05.02.2018	H9	58.90
05.02.2018	H10	56.30
05.02.2018	H11	52.99
05.02.2018	H12	51.37
05.02.2018	H13	49.09
05.02.2018	H14	49.89
05.02.2018	H15	49.49
05.02.2018	H16	51.00
05.02.2018	H17	53.98
05.02.2018	H18	61.37
05.02.2018	H19	63.72
05.02.2018	H20	58.67
05.02.2018	H21	52.12
05.02.2018	H22	45.88
05.02.2018	H23	42.00
05.02.2018	H24	36.01
06.02.2018	H1	35.02
06.02.2018	H2	31.37
06.02.2018	H3	29.41
06.02.2018	H4	29.88
06.02.2018	H5	31.75
06.02.2018	H6	38.47
06.02.2018	H7	47.18
06.02.2018	H8	61.49
06.02.2018	H9	65.91
06.02.2018	H10	63.70
06.02.2018	H11	59.60
06.02.2018	H12	55.64
06.02.2018	H13	51.50
06.02.2018	H14	49.86
06.02.2018	H15	49.99
06.02.2018	H16	52.56
06.02.2018	H17	58.87
06.02.2018	H18	64.48
06.02.2018	H19	66.50
06.02.2018	H20	61.41
06.02.2018	H21	51.00
06.02.2018	H22	43.07
06.02.2018	H23	40.00
06.02.2018	H24	36.29
07.02.2018	H1	34.31
07.02.2018	H2	29.34
07.02.2018	H3	18.77
07.02.2018	H4	14.16
07.02.2018	H5	20.93
07.02.2018	H6	35.51
07.02.2018	H7	41.95
07.02.2018	H8	57.71
07.02.2018	H9	63.54
07.02.2018	H10	61.83
07.02.2018	H11	57.97
07.02.2018	H12	53.23
07.02.2018	H13	52.00
07.02.2018	H14	50.70
07.02.2018	H15	50.55
07.02.2018	H16	52.42
07.02.2018	H17	54.96
07.02.2018	H18	61.99
07.02.2018	H19	66.01
07.02.2018	H20	59.90
07.02.2018	H21	47.73
07.02.2018	H22	40.94
07.02.2018	H23	37.70
07.02.2018	H24	33.00
08.02.2018	H1	22.16
08.02.2018	H2	19.39
08.02.2018	H3	18.74
08.02.2018	H4	19.39
08.02.2018	H5	20.89
08.02.2018	H6	29.94
08.02.2018	H7	39.69
08.02.2018	H8	58.16
08.02.2018	H9	63.98
08.02.2018	H10	61.52
08.02.2018	H11	57.94
